0186 : Cooper, A., no 1374 (+ directeur) (2X)
0601 : Higgins, B., no 0600 (+influence; + patron)
0658 : Jussieu, A.-L., no 0660 (+ inflence) (+SN)
0758 : Duvernoy, no 1385 (+assistant)
0765 : Heuland, no 000
0993 : Laplace, no 0728 (+inflence) (2X); (+patron)
1005 : Stahl, no 1182 (+ patron) (+infuence)
1013 : Girard, Ph. H. de
1043 : Woltman, no 1329 (2X) (+A)
1136 : Yositane Takahara
1184 : Gauss, no 0492 (2X (+patron)
1186 : Bessel, no 0113 (+directeur thèse) (2X)
1258 : Fourcroy, no 0457 (2X) (+patron: 3X)
1400 : Boerhaave, no 0137 (+patron) (+inflence)
